gene,log2FC,pvalue,mean_normal,mean_tumor,adj_pvalue,significant
EBF3,-1.5243849854483407,1.2438937190762273e-06,4.021290864313725,2.4969058788653844,1.197669809177311e-05,True
RBPMS2,-3.1072340493523756,1.2466899639252892e-06,5.970537466823529,2.863303417471154,1.1998281748008732e-05,True
EPCAM,5.156444797616516,1.249041962696187e-06,6.767673204941176,11.924118002557693,1.2015572638031127e-05,True
FAM60A,2.077054650595872,1.2627705916625104e-06,4.743837252264705,6.820891902860577,1.2140984781885072e-05,True
KCNB1,-1.7834412510641968,1.2731902010452107e-06,4.3890809178382355,2.6056396667740387,1.2220705412428186e-05,True
ZBTB16,-3.498635566391403,1.285348035401295e-06,7.495384981352941,3.996749414961538,1.2321003431948171e-05,True
FLJ36848,-2.394435370322964,1.2926674497107203e-06,4.919384452294118,2.5249490819711538,1.2374716935615679e-05,True
KRT19,2.7500032791849556,1.3072417120915772e-06,4.371564480382353,7.121567759567308,1.2486611232274293e-05,True
PLSCR4,-2.8805691805096156,1.3257336736411077e-06,9.086452398,6.205883217490385,1.2640920242056134e-05,True
FGF2,-3.0115196830568434,1.3306924197637164e-06,5.995591867205881,2.984072184149038,1.2678457203188674e-05,True
MYOM1,-2.6543997221357465,1.3376995458451242e-06,6.474317128058823,3.8199174059230767,1.272696995354409e-05,True
ZWINT,2.8578991238976243,1.3770503708352684e-06,5.708902917823529,8.566802041721154,1.3049708617179601e-05,True
KANK3,-2.0266211532782803,1.401598033919518e-06,6.438393357470588,4.4117722041923075,1.3253310080353485e-05,True
C1QTNF7,-2.2820247440910624,1.4027935265630831e-06,4.7139568847352935,2.431932140644231,1.3258819548795238e-05,True
ADHFE1,-2.5765635979711536,1.4273956314047287e-06,6.626989291,4.0504256930288465,1.345021972362426e-05,True
COPZ2,-1.875990146902998,1.432928854920466e-06,6.074292496205882,4.198302349302884,1.3484739354590814e-05,True
EFHD1,2.871001281340499,1.4482317159795141e-06,6.5762142522941165,9.447215533634616,1.358148815570732e-05,True
FZD4,-2.097413417684673,1.4533743678593325e-06,6.793817778352942,4.696404360668269,1.3623810419686593e-05,True
LEPREL4,1.6703283170639143,1.4597113517130545e-06,5.6747629311764705,7.345091248240385,1.3671365841693479e-05,True
MDH1,-2.090785468335973,1.4847039434820648e-06,11.845548415470589,9.754762947134616,1.387540812839502e-05,True
HIST1H2BE,1.5219174073914021,1.5064033268678334e-06,3.930017307647059,5.451934715038461,1.4059981008104217e-05,True
CALB2,-3.8035197877550893,1.5058747188377472e-06,8.051060254764705,4.247540467009616,1.4059981008104217e-05,True
MGLL,-3.2873419898925347,1.5375034809312342e-06,9.996999744911765,6.70965775501923,1.431936625482017e-05,True
BIN1,-2.034509158259728,1.5406239070438404e-06,6.416206036305883,4.381696878046155,1.4337161974576618e-05,True
AIFM2,-2.9079637624417405,1.5953761518662765e-06,7.7690625304705865,4.861098768028846,1.4802120427842042e-05,True
SPTBN1,-1.6935506983370017,1.5955992439598064e-06,5.569072889160428,3.8755221908234265,1.4802120427842042e-05,True
CTTNBP2,-2.0057856867222856,1.6469968988542948e-06,5.826226470058824,3.8204407833365384,1.520818519279243e-05,True
RDH5,-1.8380798135526017,1.6602405851315382e-06,6.021856124235294,4.183776310682692,1.5317400878175194e-05,True
SH3GLB1,-1.9336672079436283,1.7056251111051045e-06,8.708080850901961,6.774413642958333,1.5662648250746577e-05,True
LY96,-1.6135153732307694,1.7381694908232013e-06,7.7353304309999995,6.12181505776923,1.5914217915344885e-05,True
RBPMS-AS1,-3.102695174847285,1.7438525047582842e-06,5.832425835058823,2.729730660211538,1.5939268669389726e-05,True
CLDN5,-1.5777070070661772,1.755864784531766e-06,8.055397192941177,6.477690185875,1.6023629777022933e-05,True
SEPT11,-1.874958729878819,1.7617629623305926e-06,6.97467812157353,5.099719391694711,1.606225945639375e-05,True
GPIHBP1,-2.7889786700169683,1.7783981830107803e-06,5.227430030882353,2.4384513608653844,1.6173032656342256e-05,True
BIK,2.418069313882354,1.8626988615940712e-06,4.713917879117647,7.1319871930000005,1.687583327914059e-05,True
PDE2A,-1.756144541635182,1.8656244252156988e-06,4.579125096529412,2.8229805548942304,1.689526347406515e-05,True
DEFB132,-5.326514976914028,1.873078812111551e-06,8.026495848529413,2.699980871615384,1.6955673682022347e-05,True
SRPX,-3.51333320299604,1.8879748520194127e-06,9.715299064294117,6.201965861298077,1.7076227392742474e-05,True
LARP6,-2.1665577295460023,1.922975001808372e-06,6.464790164392157,4.298232434846154,1.7349276131828245e-05,True
TMEM170B,-3.53195160416629,1.9284584667084174e-06,7.428880598647059,3.8969289944807692,1.737700913254336e-05,True
EHHADH,-2.4151814274558827,1.965917273718733e-06,6.776542652705882,4.36136122525,1.7655716154796506e-05,True
MAMDC2,-3.20452203744966,1.977332799183283e-06,7.311302321882352,4.106780284432692,1.7736150543254696e-05,True
NMT2,-2.040914857106336,2.009138215996513e-06,5.958939314279412,3.9180244571730762,1.7961861695489485e-05,True
LOC101926960,-4.9710489957499995,2.0169968713254086e-06,7.534845421,2.56379642525,1.802467051264982e-05,True
NPR3,-2.751751763568816,2.0410220753601747e-06,5.956941521078431,3.205189757509615,1.8209283546563868e-05,True
FIGN,-1.670065615452065,2.077521281392921e-06,5.1341152718823535,3.4640496564302885,1.8489170268587348e-05,True
LOC101929726,-2.9527787043569,2.090223848395764e-06,5.681192983058823,2.728414278701923,1.8579290451948377e-05,True
CRY2,-1.5370853920113126,2.091195014495861e-06,6.453399707588235,4.916314315576923,1.857988886020978e-05,True
ANKRD36B,2.420984009506788,2.1559329805119037e-06,7.030457880647059,9.451441890153847,1.904598204711108e-05,True
CFD,-4.550586963907239,2.199705541463949e-06,14.07752716717647,9.52694020326923,1.9408902687427625e-05,True
NFU1,-1.669632850403282,2.2809519154942946e-06,9.68911548847059,8.019482638067307,2.004402708843179e-05,True
ALDH2,-3.1239268370390274,2.280035560350771e-06,11.810719214529412,8.686792377490384,2.004402708843179e-05,True
RARRES2,-3.3062057004162906,2.365438865627003e-06,11.486348365647059,8.180142665230768,2.0710752674156298e-05,True
C1orf213,-3.467523983311652,2.367401394540442e-06,7.335098481705883,3.8675744983942306,2.071955063547025e-05,True
ANKRD30A,3.2397416114411763,2.3712274344810644e-06,4.648077356058824,7.8878189675,2.0744644377273687e-05,True
DLG5,1.6956613799100673,2.3904576801103134e-06,5.732067108176471,7.427728488086538,2.0895980569368337e-05,True
DGAT2,-5.071060139273756,2.4083254935904166e-06,9.588606082235295,4.517545942961538,2.1026683637541835e-05,True
TMTC1,-1.9357404969157246,2.4477972440210397e-06,5.6148707683676475,3.679130271451923,2.134546286755147e-05,True
RHOBTB3,-1.714182647902903,2.4727658251834757e-06,6.4203743051176465,4.7061916572147435,2.1554507908075946e-05,True
FAM174B,1.643526163028282,2.515011211839914e-06,5.669922355029411,7.313448518057693,2.1852316292432343e-05,True
BUB1B,2.5926617651272634,2.547370290028663e-06,2.982728743882353,5.575390509009616,2.2106841646518302e-05,True
SUCLA2,-2.5748771932188914,2.609544350653332e-06,10.232077321882354,7.657200128663463,2.257396722366447e-05,True
TLN2,-1.926899395013387,2.6161733518258157e-06,5.619087434196079,3.6921880391826916,2.261322831272534e-05,True
SMIM3,-2.5898861797754504,2.6245866335061487e-06,7.349473703823528,4.759587524048078,2.267688970283767e-05,True
MYBL2,1.5649236888535087,2.656886740911809e-06,4.3415935331176465,5.906517221971155,2.291935591691666e-05,True
C19orf12,-2.0095897338998885,2.6846344517457585e-06,7.977825675960785,5.968235942060897,2.3140265483473898e-05,True
KPNA2,1.7118954024502253,2.7187570047267225e-06,7.761356049088236,9.473251451538461,2.3425052886205754e-05,True
RP11-846E15.2,2.0682243718424766,2.7297574687475506e-06,5.1780854224411765,7.246309794283653,2.3482426575090758e-05,True
HCAR3,-3.9979226802222847,2.774023943106966e-06,7.131223157058823,3.1333004768365385,2.3815876194094924e-05,True
P2RY12,-1.70012988249406,2.8237582085363425e-06,4.609264827441176,2.9091349449471156,2.4185276659415588e-05,True
PLAGL1,-1.8389910339051658,2.8773202512720643e-06,7.912229824568628,6.073238790663462,2.4566228743595542e-05,True
C11orf73,-1.7254029983574668,2.8949128456128494e-06,7.6918065135882365,5.96640351523077,2.4667758729749506e-05,True
NIPSNAP3B,-2.9535391826241515,2.9442810575465896e-06,5.294704077205882,2.3411648945817305,2.5039119764158987e-05,True
ECM2,-3.1337050587856323,2.9570887225512007e-06,7.3061658018529405,4.172460743067308,2.513815894396669e-05,True
ANGPTL2,-2.699316942916668,2.9612657338999382e-06,7.282106792,4.5827898490833325,2.516378010719763e-05,True
PRRT3-AS1,-2.2906863179326917,2.97315547339284e-06,6.8703170909999995,4.579630773067308,2.5254895432608594e-05,True
STRADB,-1.8664587278416285,3.009355696002355e-06,8.085110082764706,6.218651354923077,2.554233443821536e-05,True
ACSL1,-4.053963343439478,3.0251236076088645e-06,10.48730017285294,6.433336829413462,2.5666097745340306e-05,True
C2orf76,-1.5699639659830327,3.1665731912006936e-06,7.335857672117648,5.765893706134615,2.670908810589747e-05,True
COPG2IT1,-3.7811814730011317,3.172145607853876e-06,6.8968855300588245,3.115704057057693,2.67352435628822e-05,True
TMEM220,-3.1347370094021487,3.1780285182529048e-06,7.4183714944117645,4.283634485009616,2.6763973138342387e-05,True
FAM13A,-1.9218574979463803,3.216835428537754e-06,6.637610018211765,4.715752520265385,2.7027663882102646e-05,True
CCNH,-1.8493681465079188,3.2997446781199373e-06,7.941382355411766,6.092014208903847,2.7659812518839537e-05,True
AKR1C3,-4.361399090354071,3.322447851219778e-06,11.868731358411765,7.507332268057693,2.7767427347447435e-05,True
LOC401052,-3.05231971357353,3.376158038161191e-06,7.507303465823529,4.4549837522499995,2.8147660560931546e-05,True
LMNB1,1.641400045514139,3.427303758506668e-06,4.088972281764706,5.730372327278845,2.855206654420168e-05,True
RP11-410L14.2,-1.79125811265724,3.5127097016374907e-06,7.339631134176471,5.548373021519231,2.915514965960377e-05,True
CCDC3,-4.258881223336538,3.5358158347198757e-06,10.102413338,5.843532114663462,2.9309339304277593e-05,True
PFKFB3,-2.4526872481221744,3.553611896572986e-06,11.460485133352943,9.007797885230769,2.9406626979648086e-05,True
CHL1,-1.6394609778628388,3.578243213787748e-06,4.493491545117647,2.854030567254808,2.9581693515589578e-05,True
MEOX1,-2.130917467520927,3.59462347781103e-06,6.730311536588235,4.599394069067308,2.9671758467165827e-05,True
GNAI1,-3.7394754064001683,3.624826808187342e-06,8.361697738558822,4.622222332158654,2.989825695582659e-05,True
TRHDE,-2.7420481508964927,3.6387793192844886e-06,5.143222566117647,2.401174415221154,3.000190189509143e-05,True
BNIP2,-1.625956574178451,3.6733166681618857e-06,7.882073526029412,6.256116951850961,3.0252076937831138e-05,True
PTGFRN,1.539106319239254,3.7074560565160865e-06,5.864023357058823,7.403129676298077,3.0486815576862612e-05,True
PCDH18,-2.491790610641403,3.7247910811424024e-06,6.887684868352941,4.395894257711538,3.061772607922336e-05,True
MOCS1,-1.9349521703740575,3.779823987141611e-06,5.067202677450981,3.132250507076923,3.102294839218845e-05,True
TAF1D,1.5574485858150444,3.7875027401795574e-06,5.573126553117648,7.130575138932692,3.10624040120488e-05,True
RNF180,-1.9287907694683253,3.7955554762865063e-06,4.508260932352941,2.5794701628846153,3.1104864670249456e-05,True
SLC7A10,-2.6758989133274884,3.8045012848609816e-06,5.042209316529411,2.366310403201923,3.11427867188677e-05,True
GDPD5,-2.323451524704751,3.897920625783164e-06,6.910213197147059,4.586761672442308,3.179921294827253e-05,True
SIK2,-2.14863037348388,3.937915725377727e-06,6.010373648911765,3.8617432754278846,3.2052974687188535e-05,True
HPGDS,-2.320978241322963,3.952984182808616e-06,5.763510700294117,3.442532458971154,3.21635249323296e-05,True
COL4A3BP,-1.6872385735277131,3.976558948338003e-06,8.444205049941175,6.756966476413462,3.2343177762140116e-05,True
CSN1S1,-3.076150993867649,3.9957697888702264e-06,5.659046688117648,2.5828956942499994,3.247501103764363e-05,True
DDIT4L,-1.635397619489253,4.098611842210508e-06,4.504466482941176,2.869068863451923,3.325123755211713e-05,True
CKMT2,-2.8772321372290723,4.146420889082951e-06,5.737226280411765,2.8599941431826923,3.361102133207555e-05,True
ABHD5,-1.5652584717898748,4.223985945958134e-06,5.592234372323529,4.026975900533654,3.408651098127722e-05,True
ADIRF,-3.681454947381786,4.289718594289338e-06,11.06226116735294,7.380806219971154,3.453965827593965e-05,True
GIMAP6,-1.5166317544807688,4.329298198845852e-06,6.7236217405000005,5.206989986019232,3.4832415965797696e-05,True
ZAK,-1.7236614059086142,4.356214720728582e-06,7.204548394176471,5.480886988267857,3.500992031313628e-05,True
VIT,-2.503427149558258,4.465657654637142e-06,5.269934260529412,2.7665071109711543,3.5717006786718875e-05,True
DPT,-4.243589527169686,4.557405919323609e-06,10.067615924490198,5.824026397320512,3.638357087253368e-05,True
AOC3,-4.405852546559953,4.5691590833438566e-06,10.645112750117645,6.239260203557692,3.643706478737351e-05,True
CAV2,-3.0444692477993964,4.601887782773209e-06,7.894436461235294,4.849967213435898,3.663055267854981e-05,True
HSDL2,-1.953740622122031,4.59944673391495e-06,6.849540910470589,4.895800288348558,3.663055267854981e-05,True
CSK,1.522153408205317,4.6215412442563476e-06,6.010577145823529,7.532730554028846,3.674643323024112e-05,True
PPP1R14A,-3.856119042356333,4.62846181178432e-06,9.02149039752941,5.165371355173077,3.678793949226809e-05,True
RASEF,1.8839771957571267,4.742242460557068e-06,5.744908507129412,7.628885702886539,3.756807602861668e-05,True
PRELP,-2.294046570412519,4.793539673986305e-06,6.376290923450981,4.082244353038462,3.796055301855553e-05,True
EMCN,-1.650054337919117,4.833740766696894e-06,5.284256706960783,3.6342023690416663,3.825227660030224e-05,True
GPC6,-1.8709189263028847,4.864894227147559e-06,5.437908245,3.5669893186971153,3.848335890469377e-05,True
F8,-2.1985946719032814,4.896622084108502e-06,6.463400968470588,4.264806296567307,3.871144711144649e-05,True
MFSD10,1.6224145378919674,4.897306713382438e-06,5.813209272117648,7.4356238100096155,3.871144711144649e-05,True
MTURN,-3.1608754071233025,4.9148504944301415e-06,6.516763473411764,3.3558880662884616,3.88217562785674e-05,True
CEBPA,-3.1957324669338236,5.01607302248372e-06,9.582641140058824,6.386908673125,3.947716982227547e-05,True
AK3,-1.6700712529041297,5.03101851650478e-06,8.752351150764706,7.082279897860577,3.958039476530216e-05,True
MLLT11,1.6233415904400461,5.040918402995958e-06,5.171590255117646,6.794931845557692,3.964386392178028e-05,True
SPX,-3.5148639755489266,5.100261734451791e-06,6.068165315794118,2.553301340245192,4.0037794856627176e-05,True
HOXA10,-2.354411682645645,5.111857568208081e-06,6.16899597532353,3.814584292677885,4.009972388984113e-05,True
