gene,tabnet_importance,tabnet_rank,mean_abs_shap,shap_rank
MRC1,0.0,207,0.001945899,348
HOXC10,0.0,208,0.0035279153,268
SPP1,0.0,209,0.0063781864,189
TMEM37,0.0,210,0.0023777788,327
MYEOV,0.0,211,0.005956573,196
CEBPA,0.0,212,0.0048487145,224
SBK1,0.0,213,0.0057718353,200
HSD11B1,0.0,214,0.0025084752,319
LLGL2,0.0,215,0.0013395848,388
SPTBN1,0.0,216,0.005516983,207
TUFT1,0.0,217,0.004022709,252
GPAM,0.0,218,0.0025040826,320
EMX2,0.0,219,0.0017673492,360
LPL,0.0,220,0.0009916833,413
CST6,0.0,221,0.0055061425,209
ACSS2,0.0,222,0.0033834695,274
FN1,0.0,223,0.0027853856,305
AIFM2,0.0,224,0.0044873036,239
XG,0.0,225,0.0006003689,454
MRAP,0.0,226,0.014907884,92
PDE3B,0.0,227,0.003685325,265
ZNF106,0.0,228,0.0,497
AGPAT2,0.0,229,0.0024836538,323
KLB,0.0,230,0.0033246446,276
SULF1,0.0,231,0.0032058288,281
NAT8L,0.0,232,0.0017653307,361
TMEM170B,0.0,233,0.001696628,364
S100P,0.0,234,0.0010170509,411
S100A14,0.0,235,0.0068494957,173
KIFC2,0.0,236,0.0012188372,396
CAT,0.0,237,0.0015254308,376
FOXO6,0.0,238,0.0025153072,318
P2RY14,0.0,239,0.0008099172,429
IFI6,0.0,240,0.020656282,74
C15orf48,0.0,241,0.003099499,288
GYG2,0.0,242,0.0065594446,183
MEST,0.0,243,0.0027844412,306
IGSF9,0.0,244,0.010496631,123
ISG15,0.0,245,0.0005907747,457
RBP4,0.0,246,0.0010190903,410
CRABP2,0.0,247,0.002403846,326
SIM1,0.0,248,0.0034387624,271
PKDCC,0.0,249,0.0015437102,372
ADAMTS5,0.0,250,0.0019965724,345
TMTC1,0.0,251,0.005244302,216
DDR2,0.0,252,0.0008134478,428
NPR3,0.0,253,0.005026996,221
PPARG,0.0,254,0.0003996674,475
PYCARD,0.0,255,0.0031705191,282
RGL1,0.0,256,0.008143867,153
VIT,0.0,257,0.001219032,395
SGCG,0.0,258,0.00791343,159
COMP,0.0,259,0.00312299,285
ALDOC,0.0,260,0.0073835314,166
LGALS12,0.0,261,0.0018718583,353
ALPK3,0.0,262,0.0027117827,307
GIMAP6,0.0,263,0.00014836443,493
PCDH18,0.0,264,0.00048457857,468
CCDC69,0.0,265,0.0006951866,444
SLC16A7,0.0,266,0.0,505
MEDAG,0.0,267,0.00081404153,427
RHOXF1,0.0,268,0.0018925086,351
RASD1,0.0,269,0.00058633066,459
CLMP,0.0,270,0.0007241759,441
SLC39A4,0.0,271,0.003125428,284
GPC3,0.0,272,0.0014224673,382
MME,0.0,273,0.0,504
RUSC1,0.0,274,0.031716604,52
ANGPTL2,0.0,275,0.00021099595,488
MYZAP,0.0,276,0.0036301885,266
ENO2,0.0,277,0.003996067,254
TLN2,0.0,278,0.014794276,93
SEL1L2,0.0,279,0.0016862578,366
LIPE-AS1,0.0,280,0.0017484188,363
LEP,0.0,281,0.008234388,152
PRKAR2B,0.0,282,0.001692463,365
ALDH2,0.0,283,0.002683342,308
MX1,0.0,284,0.0032842527,278
KLHL31,0.0,285,0.00093220174,420
PAFAH1B3,0.0,286,0.013614969,96
ABCD2,0.0,287,0.0014163189,383
GPX3,0.0,288,0.0004102236,474
ERP27,0.0,289,0.010788592,121
DMRT2,0.0,290,0.0033769703,275
EFEMP1,0.0,291,0.00032040107,482
LINC00968,0.0,292,0.0016845188,367
PCDH9,0.0,293,0.00091169676,423
MLXIPL,0.0,294,0.001052678,405
EGLN3,0.0,295,0.013473253,98
RBPMS-AS1,0.0,296,0.0061049303,193
KCNB1,0.0,297,0.0026057188,312
RASGRP1,0.0,298,0.0023337416,330
SLC7A10,0.0,299,0.00079413434,433
PLA2G2A,0.0,300,0.004545508,235
APCDD1,0.0,301,0.0031016525,287
TPD52,0.0,302,0.03723224,43
HLF,0.0,303,0.018708505,79
MFAP4,0.0,304,0.007843297,160
TYRO3,0.0,305,0.0030089766,292
ANXA1,0.0,306,0.0045529255,234
RMI2,0.0,307,0.0006392233,449
PLAGL1,0.0,308,0.008098696,155
DDX39A,0.0,309,0.018986704,77
TJP3,0.0,310,0.0073237265,168
RGN,0.0,311,0.027978,57
CLGN,0.0,312,0.049296897,29
HMGB3,0.0,313,0.011592134,109
TOX3,0.0,314,0.004012591,253
TCEAL7,0.0,315,0.0054959906,210
C1QTNF7,0.0,316,0.0059238686,197
GPIHBP1,0.0,317,0.007799228,163
MARCO,0.0,318,0.011492166,114
ZCCHC24,0.0,319,0.0025676014,315
PKIB,0.0,320,0.002155301,334
UHRF1,0.0,321,0.0046168272,230
CENPM,0.0,322,0.0036143926,267
ESRP1,0.0,323,0.0070733903,171
SYNM,0.0,324,0.028247375,56
TK1,0.0,325,0.0037660163,261
SEMA3G,0.0,326,0.005281504,215
ATP1A2,0.0,327,0.0028281265,301
CENPK,0.0,328,0.024286617,65
LINC01140,0.0,329,0.00034052672,479
MCM2,0.0,330,0.003792547,260
SPRY2,0.0,331,0.055978417,25
NIPSNAP3B,0.0,332,0.0,498
MT1X,0.0,333,0.014104128,94
CASQ2,0.0,334,0.002168297,333
GNAI1,0.0,335,0.0016412635,368
RNF150,0.0,336,0.00030743738,483
NPY1R,0.0,337,0.21885452,4
SQLE,0.0,338,0.011587528,110
APOBEC3B,0.0,339,0.004335611,243
MAMDC2,0.0,340,0.1003518,12
VLDLR,0.0,341,0.016748441,84
LAMA2,0.0,342,0.001802443,356
FGF2,0.0,343,0.030022603,53
NMB,0.0,344,0.0044904547,237
RETSAT,0.0,345,0.018782578,78
PPP1R14B,0.0,346,0.007583993,164
PDE2A,0.0,347,0.00646096,186
TMEM220,0.0,348,0.00035264605,477
EMCN,0.0,349,0.0003676927,476
CLIP4,0.0,350,0.008667539,148
SORD,0.0,351,0.019780923,75
JAM2,0.0,352,0.0067882673,176
EPN3,0.0,353,0.011060832,118
TSLP,0.0,354,0.060583908,20
GALNT6,0.0,355,0.036091544,45
S100B,0.0,356,0.0034568193,270
CDKN1C,0.0,357,0.009155387,137
AGR2,0.0,358,0.03927108,38
KPNA2,0.0,359,0.015029491,91
EZH2,0.0,360,0.0025786106,313
