gene,tabnet_importance,tabnet_rank,mean_abs_shap,shap_rank
PALMD,0.0,443,0.013136216,99
DTX1,0.0,444,0.0038275742,258
ENPP2,0.0,445,0.000554243,462
PTPRM,0.0,446,0.0030328624,291
TGFBR3,0.0,447,0.005606134,203
NPR1,0.0,448,0.0005800937,460
MSRB3,0.0,449,0.0,508
HOXA5,0.0,450,0.07328058,18
MEOX2,0.0,451,0.005914063,198
WASF3,0.0,452,0.006194422,192
SPX,0.0,453,0.0029758061,295
EBF1,0.0,454,0.00045416184,472
MCAM,0.0,455,0.0012984895,391
THRSP,0.0,456,0.016359132,86
SORBS1,0.0,457,0.0,516
HBB,0.0,458,0.007930586,158
ZFP36,0.0,459,0.004974536,223
CHL1,0.0,460,0.0020920914,340
TLCD1,0.0,461,0.0046078037,232
FOSB,0.0,462,0.00064605253,448
EDNRB,0.0,463,0.051957518,27
PLIN1,0.0,464,0.0016096412,369
KANK3,0.0,465,0.0013072012,390
FAM162B,0.0,466,0.0007740462,436
CDO1,0.0,467,0.0014912365,380
AKAP12,0.0,468,0.008359326,151
IGFBP6,0.0,469,0.022587664,68
LARP6,0.0,470,0.059053972,22
SLC52A2,0.0,471,0.0041491184,246
IL33,0.0,472,0.026283022,63
ITIH5,0.0,473,0.0013866164,385
MAOA,0.0,474,0.0085922135,149
BMPR1B,0.0,475,0.0050019263,222
GSTM5,0.0,476,0.0023742337,328
CORO2B,0.0,477,0.003061183,290
ACSM5,0.0,478,0.009013787,142
NDN,0.0,479,0.0012114142,398
MRGPRF,0.0,480,0.01158618,111
THSD7B,0.0,481,0.002797344,304
GNG11,0.0,482,0.0,515
TRIM59,0.0,483,0.012144541,106
FZD4,0.0,484,0.0028169428,302
FBXL16,0.0,485,0.007162748,169
GPRC5A,0.0,486,0.0044205384,242
MUC1,0.0,487,0.0007243683,440
ACKR1,0.0,488,0.015780888,88
TMOD1,0.0,489,0.038812235,40
PPP1R14A,0.0,490,0.031833198,51
MOCS1,0.0,491,0.0038134619,259
ROGDI,0.0,492,0.0025628544,316
CEACAM6,0.0,493,0.005158602,218
SYNPO2,0.0,494,0.011822574,108
ADAMTS1,0.0,495,0.0065364093,184
TMEM100,0.0,496,0.0053900103,213
ADRB2,0.0,497,0.0050458573,220
TXNIP,0.0,498,0.0006358676,450
EGR1,0.0,499,0.0020407727,344
EBF3,0.0,500,0.0014966588,378
ITM2A,0.0,501,0.032547984,49
CALB2,0.0,502,0.0005972031,455
CFB,0.0,503,0.04588118,31
MEIS2,0.0,504,0.009347714,135
PCOLCE2,0.0,505,0.0007671094,437
FAM13A,0.0,506,0.0039870837,255
P2RY12,0.0,507,0.009035586,140
CCDC178,0.0,508,0.0018302252,355
LIPE,0.0,509,0.00079405174,434
MT1M,0.0,510,0.080026425,15
FMO2,0.0,511,0.0071032136,170
LSR,0.0,512,0.010291425,126
CREB5,0.0,513,0.00067388004,446
ME1,0.0,514,0.0078314915,162
F3,0.0,515,0.04371372,36
ANO3,0.0,516,0.002094446,338
