"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
687.999615583186,3.28625347948957,0.126917195936748,25.8928938291967,8.00745026804619e-148,1.80943221763808e-145,"DEPDC1",TRUE
294.490022898307,3.01877094805821,0.0972115428056058,31.0536265646443,1.01923459102032e-211,1.29382838083638e-208,"HSD17B6",TRUE
4818.56593416018,1.76538227663805,0.10313576316845,17.1170719293044,1.10705491270934e-65,3.51585651453533e-64,"TYMP",TRUE
244.944335910423,2.25974267366184,0.236775421039217,9.54382285012414,1.37662045597726e-21,8.87054925051932e-21,"KCNG1",TRUE
257.072980164809,1.67623976458876,0.132832591177716,12.6191904390852,1.65514001886414e-36,2.04745896285974e-35,"SH2D2A",TRUE
162.825215785016,6.96356487547593,0.219878532749195,31.6700534081648,4.01654297994543e-220,6.42051833386833e-217,"IBSP",TRUE
4625.9044249123,2.43672423064495,0.106772637214039,22.8216169818888,2.79763498337736e-115,3.26340340223154e-113,"HMGB3",TRUE
72.7886994058298,-2.32816075277187,0.188174765859193,-12.3723324014336,3.68949760439304e-35,4.32713903819575e-34,"EFCAB1",TRUE
165.692044313743,-6.85370855282754,0.291114909253266,-23.5429664884147,1.48190917226509e-122,2.06319999596649e-120,"MYOC",TRUE
352.794290907033,2.95445807875592,0.112803443922558,26.1912045946419,3.34706045034019e-151,8.06464299464976e-149,"DEPDC1B",TRUE
137.363402833606,-2.53470786113681,0.143540045519126,-17.6585415726309,8.74706914796859e-70,3.19664271317802e-68,"MYOM2",TRUE
2.50502213669866,-3.33752764314605,0.274170463959421,-12.1731845033462,4.31897352833272e-34,4.84677320548207e-33,"OTC",TRUE
8.11571883573364,2.04441568670246,0.239886647107419,8.52242386708164,1.56248357834564e-17,8.21798577155712e-17,"SLC18A1",TRUE
21968.5311426599,1.58501023514872,0.120702384319836,13.1315569620297,2.17145502634099e-39,2.97429384122111e-38,"VCAN",TRUE
209.284865714865,-3.2061670071658,0.22861886487788,-14.0240701872018,1.11058155706234e-44,1.83720582609469e-43,"C6",TRUE
98.1056674130408,-1.64942979056266,0.172780896342412,-9.54636667293283,1.34324666519135e-21,8.65937656006851e-21,"MYO16",TRUE
1520.54813528846,-1.79887088125137,0.0843272265935173,-21.3320294514424,5.7268607448975e-101,4.875173762323e-99,"AIFM2",TRUE
0.837118875331779,-2.29983714974472,0.29364832641368,-7.83194366483397,4.80384789168049e-15,2.23227901598762e-14,"C2orf83",TRUE
7154.00468248944,-1.6885388912387,0.0719142053557844,-23.4799075215379,6.54440577448775e-122,9.02417102961313e-120,"RETSAT",TRUE
138.217877098697,2.95325294831573,0.258758515000683,11.4131623777016,3.59420034317794e-30,3.43122510089715e-29,"ZIC2",TRUE
1174.57300966849,-1.66116674203783,0.127909928567395,-12.9870039069139,1.44992842264305e-38,1.92966113849133e-37,"GPM6B",TRUE
25.4896185705883,5.50692437045277,0.569490417214143,9.66991577732207,4.04711004837964e-22,2.67247964639023e-21,"MAGEC2",TRUE
755.476543928027,-2.27670806153088,0.116070510497181,-19.6148707520862,1.15429964318242e-85,6.73237467564231e-84,"PREX2",TRUE
24.2310144571268,2.42035606208265,0.264655120928874,9.14532110162011,5.94529755727343e-20,3.53414093430119e-19,"ROS1",TRUE
2326.0567657571,-1.91898772308926,0.102506110936664,-18.7207153364246,3.35613692272445e-78,1.57275645586088e-76,"CELF2",TRUE
14.3476077818945,2.17345197986988,0.211491931117798,10.27676076521,8.96914750361109e-25,6.74875185243819e-24,"UTS2",TRUE
193.268640372311,2.70000170067353,0.146894661988158,18.3805297219798,1.88122638645816e-75,8.1931110837068e-74,"TNFRSF9",TRUE
2324.61795994024,2.18354186738629,0.121552186194374,17.9638222540448,3.74134539960432e-72,1.47198238329009e-70,"EPN3",TRUE
302.518192368524,2.19887610244268,0.116417807858315,18.8877985498472,1.437153060118e-79,6.96938495221268e-78,"FOXP3",TRUE
1655.78396731804,1.65786864869653,0.152417015760839,10.8771887470749,1.48058939109524e-27,1.26002778908956e-26,"SLC4A8",TRUE
44.8076333585314,2.14396054325131,0.191596014471271,11.1900059568973,4.56402973614468e-29,4.14964237227732e-28,"TNIP3",TRUE
561.316176268924,2.58366168728149,0.0981158445407127,26.332767142512,8.08624238055818e-153,1.99429840654223e-150,"RAD51",TRUE
488.918879626196,2.63240218158824,0.110190036513193,23.8896570405716,3.92310497247696e-126,5.98308164707087e-124,"POLQ",TRUE
235.908993943645,-2.32244371098114,0.196565209972847,-11.8151310259936,3.26040217145858e-32,3.38836883506266e-31,"ALX4",TRUE
271.075256551226,1.80425117382425,0.160940318572939,11.2106847421614,3.61386730039675e-29,3.29686139685317e-28,"FSTL4",TRUE
3117.16075610778,-1.63675920538691,0.0736761821749155,-22.2155811697879,2.42820058395468e-109,2.51925810585298e-107,"FOXN3",TRUE
204.071427858298,-3.51140605248625,0.166107620923978,-21.1393434747542,3.45855289482558e-99,2.83785442852989e-97,"NNAT",TRUE
3853.72355694979,-1.78201776324889,0.149082235234134,-11.9532535881973,6.24322640213704e-33,6.66314667448651e-32,"LAMA3",TRUE
89.0202612616396,2.3234230780941,0.194006107179645,11.9760306099161,4.74504162936648e-33,5.0956953651022e-32,"PTPRN",TRUE
72.1462144680203,-1.54321568507808,0.152266425973715,-10.1349701696188,3.86491519373138e-24,2.82297748792429e-23,"CBLN4",TRUE
315.591897357184,2.31379487762167,0.194061946001273,11.9229706044816,8.98468095156627e-33,9.5137102519529e-32,"KCNH2",TRUE
54.1230387677827,-1.98600912772957,0.154247376748568,-12.8754807348644,6.18527537269182e-38,8.0554159651593e-37,"CCDC85A",TRUE
100.543577812117,1.6459598373954,0.251017629963392,6.55714834705214,5.48464471351401e-11,1.98505044725589e-10,"PHF21B",TRUE
