gene,mean_abs_shap,rank
TGFBR3,0.005606134,203
OGN,0.0055769985,204
TIMP4,0.0055415817,205
AKR1C1,0.0055181314,206
SPTBN1,0.005516983,207
CPM,0.0055102,208
CST6,0.0055061425,209
TCEAL7,0.0054959906,210
COL6A6,0.0054648067,211
BMPER,0.0054508466,212
TMEM100,0.0053900103,213
SLC12A8,0.0053478,214
SEMA3G,0.005281504,215
TMTC1,0.005244302,216
ALDH1L1,0.005159896,217
CEACAM6,0.005158602,218
CKS2,0.0050811428,219
ADRB2,0.0050458573,220
NPR3,0.005026996,221
BMPR1B,0.0050019263,222
ZFP36,0.004974536,223
CEBPA,0.0048487145,224
NMT2,0.0048416723,225
ARNT2,0.0047881105,226
EGFLAM,0.004748359,227
RGS2,0.004689358,228
MEOX1,0.004631561,229
UHRF1,0.0046168272,230
ADH1C,0.0046079867,231
TLCD1,0.0046078037,232
TSPAN13,0.004602438,233
ANXA1,0.0045529255,234
PLA2G2A,0.004545508,235
RAD51AP1,0.0045389347,236
NMB,0.0044904547,237
ZBTB16,0.004487845,238
AIFM2,0.0044873036,239
MRAS,0.00444172,240
PCK1,0.0044290177,241
GPRC5A,0.0044205384,242
APOBEC3B,0.004335611,243
LDHD,0.0042870385,244
UBE2C,0.0041802586,245
SLC52A2,0.0041491184,246
ALDH1A1,0.0041466397,247
FOS,0.0041306904,248
CCDC80,0.0040617255,249
RSPO3,0.004055981,250
G0S2,0.00403113,251
TUFT1,0.004022709,252
TOX3,0.004012591,253
ENO2,0.003996067,254
FAM13A,0.0039870837,255
FGFBP2,0.0039503574,256
HOTAIR,0.0038643752,257
DTX1,0.0038275742,258
MOCS1,0.0038134619,259
MCM2,0.003792547,260
TK1,0.0037660163,261
LMNB1,0.003750911,262
EHD2,0.003744593,263
BHMT2,0.0036981793,264
PDE3B,0.003685325,265
MYZAP,0.0036301885,266
CENPM,0.0036143926,267
HOXC10,0.0035279153,268
ACO1,0.0034684865,269
S100B,0.0034568193,270
SIM1,0.0034387624,271
SMIM22,0.0034368208,272
RECQL4,0.0034346248,273
ACSS2,0.0033834695,274
DMRT2,0.0033769703,275
KLB,0.0033246446,276
PAQR4,0.0033070329,277
MX1,0.0032842527,278
APOLD1,0.0032427432,279
MYOM1,0.0032258225,280
SULF1,0.0032058288,281
PYCARD,0.0031705191,282
S1PR1,0.0031490524,283
SLC39A4,0.003125428,284
COMP,0.00312299,285
CFL2,0.0031117485,286
APCDD1,0.0031016525,287
C15orf48,0.003099499,288
GHR,0.003068001,289
CORO2B,0.003061183,290
PTPRM,0.0030328624,291
TYRO3,0.0030089766,292
MTURN,0.0030074632,293
CDH5,0.0029907585,294
SPX,0.0029758061,295
SGK2,0.0029704638,296
RAB26,0.0029428778,297
ACACB,0.0028706908,298
MMP9,0.0028653417,299
KRT18,0.0028605592,300
ATP1A2,0.0028281265,301
FZD4,0.0028169428,302
STX11,0.002797639,303
THSD7B,0.002797344,304
FN1,0.0027853856,305
MEST,0.0027844412,306
ALPK3,0.0027117827,307
ALDH2,0.002683342,308
ADHFE1,0.0026662992,309
TRHDE-AS1,0.002625243,310
COL10A1,0.0026237057,311
KCNB1,0.0026057188,312
EZH2,0.0025786106,313
MAGI2-AS3,0.0025724326,314
ZCCHC24,0.0025676014,315
ROGDI,0.0025628544,316
CA4,0.0025208176,317
FOXO6,0.0025153072,318
HSD11B1,0.0025084752,319
GPAM,0.0025040826,320
MELK,0.0024916658,321
SIK2,0.002490468,322
AGPAT2,0.0024836538,323
GPR146,0.002461185,324
PC,0.00243196,325
CRABP2,0.002403846,326
TMEM37,0.0023777788,327
GSTM5,0.0023742337,328
LRRC15,0.002338512,329
RASGRP1,0.0023337416,330
TWIST2,0.0022391635,331
BIK,0.0022308864,332
CASQ2,0.002168297,333
PKIB,0.002155301,334
KL,0.0021495684,335
FERMT2,0.0021348642,336
PLIN4,0.002118542,337
ANO3,0.002094446,338
KLF4,0.0020925857,339
CHL1,0.0020920914,340
FADS3,0.0020737865,341
SH3D19,0.002049261,342
CHRDL1,0.0020465266,343
EGR1,0.0020407727,344
ADAMTS5,0.0019965724,345
PBK,0.001989467,346
TBX15,0.0019742658,347
MRC1,0.001945899,348
FHL1,0.0019378405,349
IGF1,0.0019025255,350
RHOXF1,0.0018925086,351
COX7A1,0.0018816662,352
LGALS12,0.0018718583,353
EMP1,0.001838449,354
CCDC178,0.0018302252,355
LAMA2,0.001802443,356
PDK4,0.0017962038,357
GABARAPL1,0.001786161,358
BUB1B,0.0017715626,359
EMX2,0.0017673492,360
NAT8L,0.0017653307,361
CXCL12,0.0017579753,362
LIPE-AS1,0.0017484188,363
TMEM170B,0.001696628,364
PRKAR2B,0.001692463,365
SEL1L2,0.0016862578,366
LINC00968,0.0016845188,367
GNAI1,0.0016412635,368
PLIN1,0.0016096412,369
PCSK5,0.0015687252,370
ACADL,0.0015522636,371
PKDCC,0.0015437102,372
COL11A1,0.0015383594,373
ASPA,0.0015325048,374
FOLR2,0.0015257724,375
CAT,0.0015254308,376
FOXO1,0.0015165798,377
EBF3,0.0014966588,378
FAM149A,0.0014938839,379
CDO1,0.0014912365,380
C6,0.0014587889,381
GPC3,0.0014224673,382
ABCD2,0.0014163189,383
GLYAT,0.0013976682,384
ITIH5,0.0013866164,385
CPED1,0.0013789955,386
LAMP3,0.0013541859,387
LLGL2,0.0013395848,388
BGN,0.001323595,389
KANK3,0.0013072012,390
MCAM,0.0012984895,391
HOXA7,0.001271883,392
FGF14-AS2,0.001263863,393
SSPN,0.0012550707,394
VIT,0.001219032,395
KIFC2,0.0012188372,396
LRRN3,0.0012115914,397
NDN,0.0012114142,398
PGM5-AS1,0.0012035422,399
TMEM132C,0.0011986061,400
NR3C1,0.0011692246,401
MTCL1,0.0011611556,402
C14orf180,0.0010854792,403
LYVE1,0.0010796015,404
MLXIPL,0.001052678,405
RBPMS2,0.0010474768,406
MFAP5,0.0010406732,407
NNAT,0.0010304339,408
LRRN4CL,0.0010204039,409
RBP4,0.0010190903,410
S100P,0.0010170509,411
AOX1,0.0010029337,412
LPL,0.0009916833,413
DAAM2,0.000968076,414
KIF4A,0.0009653514,415
POSTN,0.0009593631,416
RGCC,0.0009471909,417
PLAC9,0.0009414811,418
NRN1,0.00093953294,419
KLHL31,0.00093220174,420
ARHGAP20,0.0009245966,421
ABCA8,0.0009183546,422
PCDH9,0.00091169676,423
AADAC,0.00090731506,424
ANGPTL1,0.0008942551,425
TRHDE,0.00085125637,426
MEDAG,0.00081404153,427
DDR2,0.0008134478,428
P2RY14,0.0008099172,429
ANGPT1,0.0008076632,430
DOCK11,0.0008065634,431
INMT,0.0008005957,432
SLC7A10,0.00079413434,433
LIPE,0.00079405174,434
RACGAP1,0.0007917962,435
FAM162B,0.0007740462,436
PCOLCE2,0.0007671094,437
SLC19A3,0.0007447742,438
PFKFB3,0.0007250518,439
MUC1,0.0007243683,440
CLMP,0.0007241759,441
HCAR3,0.0007200448,442
PYGM,0.0007051397,443
CCDC69,0.0006951866,444
RDH5,0.0006788604,445
CREB5,0.00067388004,446
ACVR1C,0.0006735755,447
FOSB,0.00064605253,448
RMI2,0.0006392233,449
TXNIP,0.0006358676,450
FBLN5,0.00063458935,451
NR3C2,0.00062828534,452
CIDEC,0.00060217775,453
XG,0.0006003689,454
CALB2,0.0005972031,455
GPR34,0.000595813,456
ISG15,0.0005907747,457
SRPX,0.0005891549,458
RASD1,0.00058633066,459
NPR1,0.0005800937,460
AP1M2,0.00057581865,461
ENPP2,0.000554243,462
IL6,0.00055307715,463
AOC3,0.0005306231,464
ANGPTL4,0.0005250079,465
KIF11,0.000507476,466
DPT,0.00049877074,467
PCDH18,0.00048457857,468
CCDC3,0.00047683166,469
PRELP,0.00047231355,470
MBNL1-AS1,0.00045851138,471
EBF1,0.00045416184,472
F8,0.00045116103,473
GPX3,0.0004102236,474
PPARG,0.0003996674,475
EMCN,0.0003676927,476
TMEM220,0.00035264605,477
PPP1R1A,0.00034403964,478
LINC01140,0.00034052672,479
CD248,0.00034000896,480
TYMP,0.0003333239,481
EFEMP1,0.00032040107,482
RNF150,0.00030743738,483
CRYBG3,0.00028026322,484
TNMD,0.00025895628,485
ABCA6,0.00023517739,486
HSPB7,0.00023476848,487
ANGPTL2,0.00021099595,488
KRT19,0.00020903168,489
GALNT15,0.00020605186,490
SLIT3,0.00019685033,491
GPD1,0.00016618073,492
GIMAP6,0.00014836443,493
SCARA5,0.00014234454,494
FABP4,0.00012130098,495
GDF10,5.4601478e-05,496
ZNF106,0.0,497
NIPSNAP3B,0.0,498
EPB41L2,0.0,499
VGLL3,0.0,500
FAT4,0.0,501
COL1A2,0.0,502
CELF2,0.0,503
MME,0.0,504
SLC16A7,0.0,505
ADIPOQ,0.0,506
CIDEA,0.0,507
MSRB3,0.0,508
PLSCR4,0.0,509
DCN,0.0,510
ADH1B,0.0,511
TNS1,0.0,512
CNRIP1,0.0,513
ZEB2,0.0,514
GNG11,0.0,515
SORBS1,0.0,516
