gene,tabnet_importance,tabnet_rank
RBPMS-AS1,0.0,296
KCNB1,0.0,297
RASGRP1,0.0,298
SLC7A10,0.0,299
PLA2G2A,0.0,300
APCDD1,0.0,301
TPD52,0.0,302
HLF,0.0,303
MFAP4,0.0,304
TYRO3,0.0,305
ANXA1,0.0,306
RMI2,0.0,307
PLAGL1,0.0,308
DDX39A,0.0,309
TJP3,0.0,310
RGN,0.0,311
CLGN,0.0,312
HMGB3,0.0,313
TOX3,0.0,314
TCEAL7,0.0,315
C1QTNF7,0.0,316
GPIHBP1,0.0,317
MARCO,0.0,318
ZCCHC24,0.0,319
PKIB,0.0,320
UHRF1,0.0,321
CENPM,0.0,322
ESRP1,0.0,323
SYNM,0.0,324
TK1,0.0,325
SEMA3G,0.0,326
ATP1A2,0.0,327
CENPK,0.0,328
LINC01140,0.0,329
MCM2,0.0,330
SPRY2,0.0,331
NIPSNAP3B,0.0,332
MT1X,0.0,333
CASQ2,0.0,334
GNAI1,0.0,335
RNF150,0.0,336
NPY1R,0.0,337
SQLE,0.0,338
APOBEC3B,0.0,339
MAMDC2,0.0,340
VLDLR,0.0,341
LAMA2,0.0,342
FGF2,0.0,343
NMB,0.0,344
RETSAT,0.0,345
PPP1R14B,0.0,346
PDE2A,0.0,347
TMEM220,0.0,348
EMCN,0.0,349
CLIP4,0.0,350
SORD,0.0,351
JAM2,0.0,352
EPN3,0.0,353
TSLP,0.0,354
GALNT6,0.0,355
S100B,0.0,356
CDKN1C,0.0,357
AGR2,0.0,358
KPNA2,0.0,359
EZH2,0.0,360
TFF1,0.0,361
SLC16A6,0.0,362
SFRP1,0.0,363
ASPM,0.0,364
DEGS2,0.0,365
STIL,0.0,366
RAD51AP1,0.0,367
SLC39A6,0.0,368
CDCA3,0.0,369
KIF18B,0.0,370
FOXA1,0.0,371
CA12,0.0,372
MLPH,0.0,373
DLGAP5,0.0,374
FOXM1,0.0,375
NCAPG,0.0,376
AURKA,0.0,377
ORC6,0.0,378
GATA3,0.0,379
NDC80,0.0,380
TTK,0.0,381
GINS1,0.0,382
CYP2B7P,0.0,383
SCN4B,0.0,384
BUB1B,0.0,385
ZBTB16,0.0,386
NMT2,0.0,387
SLC9A3R1,0.0,388
DTL,0.0,389
NPNT,0.0,390
CREB3L4,0.0,391
DEFB132,0.0,392
PBK,0.0,393
PSRC1,0.0,394
CKS2,0.0,395
SOX11,0.0,396
STARD10,0.0,397
ZWINT,0.0,398
ATAD2,0.0,399
RSPH1,0.0,400
TSPAN1,0.0,401
CDC7,0.0,402
RACGAP1,0.0,403
SPDEF,0.0,404
DNAJC12,0.0,405
SPAG5,0.0,406
KIF11,0.0,407
PTTG1,0.0,408
PAMR1,0.0,409
ACACB,0.0,410
TF,0.0,411
DCN,0.0,412
ARNT2,0.0,413
EPB41L2,0.0,414
MICU3,0.0,415
MYOM1,0.0,416
GALNT15,0.0,417
CALML5,0.0,418
TPX2,0.0,419
FBLN5,0.0,420
ECM2,0.0,421
SLC12A8,0.0,422
CXCL12,0.0,423
RHOQ,0.0,424
FOS,0.0,425
PGM5-AS1,0.0,426
MIR100HG,0.0,427
MAP1LC3C,0.0,428
CFD,0.0,429
ALDH1L1,0.0,430
CDH5,0.0,431
EGFLAM,0.0,432
PCSK5,0.0,433
MBNL1-AS1,0.0,434
SCD,0.0,435
LRRN3,0.0,436
SLITRK6,0.0,437
CAV2,0.0,438
PLIN4,0.0,439
BMPER,0.0,440
CA4,0.0,441
FOXO1,0.0,442
PALMD,0.0,443
DTX1,0.0,444
ENPP2,0.0,445
PTPRM,0.0,446
TGFBR3,0.0,447
NPR1,0.0,448
MSRB3,0.0,449
HOXA5,0.0,450
MEOX2,0.0,451
WASF3,0.0,452
SPX,0.0,453
EBF1,0.0,454
MCAM,0.0,455
THRSP,0.0,456
SORBS1,0.0,457
HBB,0.0,458
ZFP36,0.0,459
CHL1,0.0,460
TLCD1,0.0,461
FOSB,0.0,462
EDNRB,0.0,463
PLIN1,0.0,464
KANK3,0.0,465
FAM162B,0.0,466
CDO1,0.0,467
AKAP12,0.0,468
IGFBP6,0.0,469
LARP6,0.0,470
SLC52A2,0.0,471
IL33,0.0,472
ITIH5,0.0,473
MAOA,0.0,474
BMPR1B,0.0,475
GSTM5,0.0,476
CORO2B,0.0,477
ACSM5,0.0,478
NDN,0.0,479
MRGPRF,0.0,480
THSD7B,0.0,481
GNG11,0.0,482
TRIM59,0.0,483
FZD4,0.0,484
FBXL16,0.0,485
GPRC5A,0.0,486
MUC1,0.0,487
ACKR1,0.0,488
TMOD1,0.0,489
PPP1R14A,0.0,490
MOCS1,0.0,491
ROGDI,0.0,492
CEACAM6,0.0,493
SYNPO2,0.0,494
ADAMTS1,0.0,495
TMEM100,0.0,496
ADRB2,0.0,497
TXNIP,0.0,498
EGR1,0.0,499
EBF3,0.0,500
ITM2A,0.0,501
CALB2,0.0,502
CFB,0.0,503
MEIS2,0.0,504
PCOLCE2,0.0,505
FAM13A,0.0,506
P2RY12,0.0,507
CCDC178,0.0,508
LIPE,0.0,509
MT1M,0.0,510
FMO2,0.0,511
LSR,0.0,512
CREB5,0.0,513
ME1,0.0,514
F3,0.0,515
ANO3,0.0,516
